genes	logFC	logCPM	LR	PValue	FDR
MTRNR2L9	MTRNR2L9	3.68025842395541	8.7699407967777	2447.258131037	0	0
MTRNR2L12	MTRNR2L12	3.54233900433761	14.5178664368343	2427.40307472254	0	0
MTRNR2L2	MTRNR2L2	3.48268986161326	12.4046879560802	2096.60809272536	0	0
MAT2A	MAT2A	3.1403592785393	8.61395273616229	1464.44080179451	2.08693328803343e-320	9.82580365338338e-317
MTRNR2L8	MTRNR2L8	3.45311470269833	11.0182039459527	1066.41520612152	6.58340968480789e-234	2.47970709187974e-230
BRD2	BRD2	2.18579976909516	7.29322613752754	1018.28097094613	1.90843528389229e-223	5.99026028359057e-220
CCNT2	CCNT2	2.17705241955692	7.4691091706078	977.45760785254	1.42634710152053e-214	3.83748499470517e-211
MYH3	MYH3	6.37888520650046	4.90335358796583	940.56890375622	1.48881886331702e-206	3.50486570660617e-203
PTCD3	PTCD3	2.58672738072771	7.76448435197844	921.851055043525	1.7447237438904e-202	3.65093136318754e-199
LSMEM1	LSMEM1	8.39140098829092	7.19994588075611	876.439272810008	1.29931687313368e-192	2.44700346717265e-189
RLF	RLF	1.94796197981051	6.76465421731731	838.724812687926	2.05510991293747e-184	3.51853499912286e-181
RIOK3	RIOK3	1.92041570644665	8.3259396985717	809.039880697237	5.84308265207046e-178	9.17023129887025e-175
TAF1D	TAF1D	2.6117292691524	8.39820753289806	800.401520255347	4.41329970080402e-176	6.39351332809555e-173
NEB	NEB	5.2955143969191	4.72026443506623	751.243291640972	2.15310646553753e-165	2.89638957610488e-162
MSH4	MSH4	6.37321789022431	3.91461112462528	749.54518017508	5.03843684510146e-165	6.32592540691972e-162
GPATCH8	GPATCH8	2.43217604418751	6.794604219713	741.020520305031	3.59649416009001e-163	4.23329840731095e-160
NXF1	NXF1	3.97034167559396	8.02556049785283	724.967571131465	1.11295067934793e-159	1.23295294965645e-156
C1orf63	C1orf63	2.38785852879947	7.94586774310096	717.2166434319	5.39381646705755e-158	5.64343030689416e-155
PKHD1L1	PKHD1L1	9.85998327419745	3.64508253887555	711.05599338021	1.17905046765638e-156	1.16868723459856e-153
RBM33	RBM33	2.67280567186417	6.49890801556864	692.988550785149	1.00092322071122e-152	9.42519350782722e-150
NFKBIA	NFKBIA	2.85605329805038	7.08643979049645	690.821635802011	2.96222803118668e-152	2.65655431006375e-149
ZNF432	ZNF432	2.90193881010173	6.22173658935044	690.278878618035	3.88728958232936e-152	3.32769657745494e-149
CHD2	CHD2	2.68017313943592	8.59845296220922	684.995611620208	5.47718394421903e-151	4.48486109658596e-148
ZNF654	ZNF654	2.83043992530819	7.15298037277378	684.408498511705	7.34908001437556e-151	5.76688432961396e-148
SEC61A1	SEC61A1	-1.97802989763187	9.07895255011627	676.18228967676	4.52011688388956e-149	3.40509445097168e-146
NFE2L3	NFE2L3	4.08990960796726	5.53294864317783	662.975376110039	3.36716969731917e-146	2.43899641960046e-143
AGAP6	AGAP6	4.0556692124693	5.15497622439673	642.514178566813	9.48733499656234e-142	6.61759185149106e-139
C1orf162	C1orf162	7.47817805361832	4.27654823188928	637.050538041469	1.46354932436071e-140	9.84393729488761e-138
RBBP6	RBBP6	3.06648118418086	7.4288087057688	631.285766063471	2.62530315971093e-139	1.70490808299434e-136
FSD1L	FSD1L	3.09520502101311	6.17948384012475	619.242368519256	1.09279677017439e-136	6.86021385756476e-134
