genes	logFC	logCPM	LR	PValue	FDR
MTRNR2L12	MTRNR2L12	3.24571525894659	14.5178664368343	697.638291738419	9.75605786418264e-154	1.83735837756152e-149
MTRNR2L9	MTRNR2L9	3.26553900323626	8.7699407967777	659.22625466932	2.20091938231003e-145	2.07249573635224e-141
MTRNR2L2	MTRNR2L2	3.03453081156842	12.4046879560802	552.180766599312	4.22266347693342e-122	2.65084737536957e-118
MAT2A	MAT2A	3.20962086145201	8.61395273616229	507.744191504019	1.96343313209353e-112	9.24433404417938e-109
RIOK3	RIOK3	2.23056144345066	8.3259396985717	354.36921305701	4.73912497369181e-79	1.78503881259076e-75
CCNT2	CCNT2	2.20075973674837	7.4691091706078	334.369418347019	1.07433780524193e-74	3.37216731435355e-71
MTRNR2L8	MTRNR2L8	3.0787775656731	11.0182039459527	291.945083275389	1.87389423400454e-65	5.04157858700107e-62
NEB	NEB	5.77641182895219	4.72026443506623	281.567914237132	3.41919451927806e-63	8.04921129769547e-60
GPATCH8	GPATCH8	2.60693653562074	6.794604219713	280.30877873623	6.43143718995956e-63	1.34581396220565e-59
LSMEM1	LSMEM1	7.7781818912374	7.19994588075611	267.351916636885	4.28605595623828e-60	8.07192918238356e-57
ITGB1	ITGB1	-3.06568519580455	11.5943129397807	259.098054076418	2.69848558585105e-58	4.62005263984844e-55
ZNF654	ZNF654	3.02709959404254	7.15298037277378	258.315481434971	3.99673605167994e-58	6.27254417177403e-55
RBM33	RBM33	2.82923572888872	6.49890801556864	255.547581548715	1.60349923080296e-57	2.32297700105477e-54
SEC23A	SEC23A	-1.73638828579959	9.07974636471974	253.885401791844	3.69328321821211e-57	4.96825734632776e-54
MSH4	MSH4	6.61219224731986	3.91461112462528	253.595902746583	4.27092912969668e-57	5.36229388663851e-54
RLF	RLF	1.83709535979719	6.76465421731731	252.144301367715	8.85055422552002e-57	1.04176554830762e-53
FSD1L	FSD1L	3.39999955161942	6.17948384012475	244.693307967559	3.72730761655254e-55	4.12919907897258e-52
MYH3	MYH3	5.35579785539526	4.90335358796583	243.922573088451	5.48829873266543e-55	5.74228500179378e-52
CHD2	CHD2	2.77225430878221	8.59845296220922	242.411506350207	1.17192608153363e-54	1.16162546808015e-51
ZC3H12A	ZC3H12A	3.4646044015054	4.48046445191165	241.552950266982	1.80342259383795e-54	1.6981928854875e-51
ZNF432	ZNF432	2.92131307200949	6.22173658935044	235.194945514857	4.3900075103187e-53	3.93700054484915e-50
PSMA4	PSMA4	-2.5777011270482	6.41264747390112	232.862756017843	1.41592302138233e-52	1.21209446644061e-49
SEC61A1	SEC61A1	-2.00316370322151	9.07895255011627	231.038130430864	3.53953180826633e-52	2.89826098022086e-49
PABPC1	PABPC1	3.17898274325571	9.99743672314207	229.490996250096	7.69747589465445e-52	6.04027348016781e-49
PKHD1L1	PKHD1L1	11.2131281078131	3.64508253887555	229.050075990647	9.60521288941689e-52	7.23579897385553e-49
TAF1D	TAF1D	2.39638277579226	8.39820753289806	228.088449731481	1.55677996193445e-51	1.12764757781198e-48
BRD2	BRD2	1.74946604448206	7.29322613752754	223.864290026028	1.2987212173902e-50	9.0588209952258e-48
NFE2L3	NFE2L3	4.05855778328395	5.53294864317783	222.757426217791	2.26430665244609e-50	1.52298882805419e-47
RPN2	RPN2	-2.06738543885192	8.37677137425227	221.432481454964	4.40481185552126e-50	2.8605455750011e-47
LRRC7	LRRC7	5.8746231678186	4.31930045136341	221.348495189586	4.59458613205238e-50	2.88432802083141e-47
NXF1	NXF1	3.76230252336443	8.02556049785283	220.628794744472	6.5952049177251e-50	4.00669336179087e-47
PTCD3	PTCD3	2.15574989388546	7.76448435197844	220.264531165455	7.91922628934921e-50	4.66071214710355e-47
C1orf162	C1orf162	7.3818413912259	4.27654823188928	216.878248284562	4.338493185448e-49	2.47596491398612e-46
CNN3	CNN3	-2.696180083472	8.26296024222139	215.531121749955	8.53501910416761e-49	4.7276474937879e-46
POLG2	POLG2	4.30701611542566	5.68412220353422	205.69779682693	1.1926964682223e-46	6.41772931029447e-44
ART3	ART3	7.58051600530309	3.46402871860815	203.880644642623	2.97185737639724e-46	1.5546941658247e-43
NUCB2	NUCB2	-2.36750920055481	6.59670037460451	200.627069917717	1.524025562079e-45	7.75729011098209e-43
COPB2	COPB2	-1.69474696027954	8.4760417900997	200.428183113019	1.68419838417121e-45	8.34697583397271e-43
SNX17	SNX17	-1.95272288003918	6.68799160184005	200.329994479954	1.76937548565653e-45	8.54426885163318e-43
CDC42	CDC42	-2.15911327384928	8.80859813449671	200.168453568473	1.91898523971605e-45	9.03506225489311e-43
GBA	GBA	-3.24483314015377	5.71203693968198	200.065869668277	2.02049450355621e-45	9.28096902084736e-43
EFEMP2	EFEMP2	-2.53151876154555	7.40642112533364	199.656117873323	2.48241844512928e-45	1.11312825183618e-42
NFKBIA	NFKBIA	2.62539173842953	7.08643979049645	197.956207311592	5.83236104672739e-45	2.55443850216319e-42
PEX5L	PEX5L	5.69794489979652	2.68478323874236	197.214027993253	8.46865026022463e-45	3.62477478070024e-42
USP44	USP44	6.92575461592333	4.0061350957068	196.885258255112	9.98997390507186e-45	4.18091507898263e-42
MMP2	MMP2	-3.15921768376781	9.88819230657651	195.290468298905	2.2264712860133e-44	9.11546385423662e-42
AGAP6	AGAP6	3.78874272480186	5.15497622439673	195.078261531406	2.47702812855539e-44	9.92550441384758e-42
NRG4	NRG4	4.95631945833588	3.84150552990419	191.899729040392	1.22369109662719e-43	4.8012030047458e-41
NRBP1	NRBP1	-1.81197724766084	7.42089828100733	191.43436049888	1.54613412803665e-43	5.94251919047228e-41
MASP2	MASP2	5.40872903390795	3.96507890222421	191.2279742908	1.71512275547739e-43	6.46018137078116e-41
TTN	TTN	2.87591074274833	6.50774030722862	188.376951385008	7.18811963834025e-43	2.65438935586004e-40
DAPP1	DAPP1	10.5846683252011	2.99119427245897	187.577949769776	1.07406289620414e-42	3.88996663927164e-40
PPIB	PPIB	-2.94502083945374	7.44106858738579	187.001225624587	1.43524314017409e-42	5.09998755828276e-40
GHITM	GHITM	-2.37691730178954	7.15353154083338	185.806500988309	2.61657907924969e-42	9.12556181472397e-40
MMP14	MMP14	-4.65192310274536	9.90936640080635	183.333897591024	9.06841183479213e-42	3.10518909244801e-39
C1orf63	C1orf63	2.06002028859825	7.94586774310096	182.869655320584	1.14520930989488e-41	3.85137980950898e-39
CSTF3	CSTF3	2.77070054113361	6.50821590014632	181.77009013384	1.99043518883697e-41	6.57646770374854e-39
KIAA0907	KIAA0907	2.59959175586419	7.04596706195213	180.734155105283	3.35062818401006e-41	1.08797207912865e-38
KLB	KLB	6.29935886265766	3.99401899512684	179.639014772159	5.81083394495838e-41	1.8548378929729e-38
BCAP31	BCAP31	-2.53072119766085	6.74608371690111	179.399228861366	6.55532480683553e-41	2.05760720145223e-38
BEND4	BEND4	6.91552859181977	2.60253107965553	177.828795845483	1.4437694570055e-40	4.45746068586632e-38
MPHOSPH8	MPHOSPH8	1.68491604652214	6.40464985129483	177.715241371916	1.52859726546107e-40	4.64323746781102e-38
ZNF267	ZNF267	2.06836230394611	5.78138646617333	177.674013957788	1.56061338257184e-40	4.66524314825009e-38
KMT2A	KMT2A	2.10336274688469	7.50094309068803	176.653265071254	2.60726702793816e-40	7.67229061518115e-38
MYSM1	MYSM1	1.89160481147509	6.64354160255482	176.265250684792	3.16893976577472e-40	9.18163732443619e-38
POLR2A	POLR2A	3.70698478401092	8.15947118407274	176.207421281574	3.26243559476796e-40	9.30931053882802e-38
ATXN2	ATXN2	2.15678407278675	6.45379505234636	175.951291331195	3.71084006904171e-40	1.04307837343675e-37
SCAI	SCAI	2.09641266778612	5.58312933129184	175.328909215883	5.07436540986866e-40	1.40537534947142e-37
VCP	VCP	-2.12874051531364	8.83580980961665	174.469642408777	7.81671215578265e-40	2.13350927579499e-37
RBBP6	RBBP6	2.76285606874236	7.4288087057688	174.433275035915	7.96096945706832e-40	2.14184196835668e-37
FRS2	FRS2	1.97822010014159	7.84364434051346	173.429798217168	1.31858150508974e-39	3.49758387117676e-37
MRFAP1	MRFAP1	-2.52698397716825	7.07689187689962	173.071576578256	1.57883870799972e-39	4.1297596371887e-37
SEMA4D	SEMA4D	5.19616852045446	4.39113015292429	172.088979826141	2.58778597231551e-39	6.67613331734493e-37
ATP5A1	ATP5A1	-1.66813416050889	8.46883646756517	171.979092104014	2.73481092720981e-39	6.96009380974898e-37
DAGLB	DAGLB	2.06687875823272	5.79393117820881	171.729387553235	3.10071540373599e-39	7.78610309314132e-37
ERGIC1	ERGIC1	-2.69299468194977	7.63807031721804	171.407131811798	3.64621351790844e-39	9.03541305036442e-37
MAGED2	MAGED2	-3.08085790183538	7.98791792797253	171.071333655989	4.31698688310739e-39	1.05586771389041e-36
TMA7	TMA7	-2.60757838159616	4.7391108375082	170.902362221802	4.69985606792228e-39	1.13477422214334e-36
SFSWAP	SFSWAP	2.5737424243404	6.68821135688845	170.854048874287	4.81544431268579e-39	1.14796535114951e-36
LAT2	LAT2	6.07869615115254	4.66853518784193	168.787440172954	1.3614668540217e-38	3.20506315772385e-36
NDUFB3	NDUFB3	-2.88215297680157	4.87038683319801	168.677934230879	1.43855108635912e-38	3.34472007523474e-36
DCAF4L1	DCAF4L1	6.58563277738768	3.31246408482813	168.259923930967	1.77511972934996e-38	4.076930471079e-36
YKT6	YKT6	-1.53819648431108	7.54660472750008	168.15797682102	1.86850933411141e-38	4.23971521558074e-36
JMJD6	JMJD6	3.26462554518067	7.36398450621489	167.151662349503	3.09957368577345e-38	6.94931800287754e-36
AGBL3	AGBL3	4.6337344953319	3.80021636196794	166.698151780081	3.89371021131728e-38	8.62708757761627e-36
USP49	USP49	3.29907391246579	4.67999978513242	166.427073650888	4.46248507278886e-38	9.77232341579448e-36
SLC26A3	SLC26A3	10.3628000323881	2.64026896098452	165.922486799073	5.75172450803092e-38	1.24508307654881e-35
CCNL1	CCNL1	2.10803194265567	7.92247241402556	165.530636786046	7.00478225432055e-38	1.49910300222294e-35
CDR1	CDR1	3.6800623156155	8.08168324791915	165.143822099469	8.50927268772663e-38	1.80061946660624e-35
COL4A3BP	COL4A3BP	2.0044922347363	6.73865247271318	164.798880407648	1.01214858114002e-37	2.11797713651223e-35
TMEM258	TMEM258	-2.86752679026668	5.3310186034565	163.97445609656	1.53229329181308e-37	3.17117357854019e-35
YWHAQ	YWHAQ	-2.13444004973404	8.9995528154956	163.688224920312	1.76958363944818e-37	3.62245311757908e-35
CD59	CD59	-3.32674048816267	10.210974049942	163.584072740289	1.86476463544949e-37	3.77624864294841e-35
