GENE	HGID_CTL-H9_IFNa_rep1	HGID_CTL-H9_IFNa_rep2	HGID_CTL-H9_NS_rep1	HGID_CTL-H9_NS_rep2	HGID_CTL-MRC5-J1_IFNa_rep1	HGID_CTL-MRC5-J1_IFNa_rep2	HGID_CTL-MRC5-J1_NS_rep1	HGID_CTL-MRC5-J1_NS_rep2	HGID_CTL-MRC5-J3_IFNa_rep1	HGID_CTL-MRC5-J3_IFNa_rep2	HGID_CTL-MRC5-J3_NS_rep1	HGID_CTL-MRC5-J3_NS_rep2	HGID_SNORA31-8H_IFNa_rep1	HGID_SNORA31-8H_IFNa_rep2	HGID_SNORA31-8H_NS_rep1	HGID_SNORA31-8H_NS_rep2	HGID_SNORA31-P2_IFNa_rep1	HGID_SNORA31-P2_IFNa_rep2	HGID_SNORA31-P2_NS_rep1	HGID_SNORA31-P2_NS_rep2	HGID_SNORA31-P5_IFNa_rep1	HGID_SNORA31-P5_IFNa_rep2	HGID_SNORA31-P5_NS_rep1	HGID_SNORA31-P5_NS_rep2	HGID_STAT1_IFNa_rep1	HGID_STAT1_IFNa_rep2	HGID_STAT1_NS_rep1	HGID_STAT1_NS_rep2	HGID_TLR3_IFNa_rep1	HGID_TLR3_IFNa_rep2	HGID_TLR3_NS_rep1	HGID_TLR3_NS_rep2
ABCD1	1.142	0.987	-0.076	0.225	0.117	0.056	-1.053	-1.646	1.224	1.096	-0.17	0.071	0.976	1.069	-0.213	-0.353	2.131	1.858	-0.532	-0.779	1.19	1.253	-0.738	-0.293	-0.863	-0.675	-0.897	-0.472	-1.089	-1.74	-1.263	-0.545
ABHD4	-0.02	-0.218	0.092	0.054	-0.357	-0.07	0.507	0.938	0.184	0.511	1.021	1.098	0.465	0.694	0.691	0.67	-0.248	0.128	0.401	0.597	0.106	0.298	0.517	0.319	0.529	0.378	0.3	0.341	-2.702	-2.139	-2.496	-2.589
ACKR4	0.175	0.428	-1.083	-1.691	0.331	0.606	-0.458	-0.515	0.659	0.552	-0.789	-0.27	1.715	1.554	-0.622	-0.632	2.427	2.55	0.112	0.564	0.389	0.666	-0.932	-0.946	-0.529	-1.206	-0.852	-0.961	0.177	-0.658	-0.317	-0.441
ACSL5	1.46	1.8	-0.527	-0.615	0.936	0.726	-0.49	-1.932	0.894	1.515	-0.585	-0.801	1.025	1.328	0.196	-0.343	1.114	1.604	-0.87	-0.762	0.609	-0.484	-0.81	-0.831	-0.95	-1.074	-1.813	-0.705	0.256	0.03	0.565	-0.466
ADAR	1.113	1.121	-0.764	-0.641	0.514	0.468	-1.104	-1.024	1.407	1.484	-0.788	-0.765	1.704	1.688	0.1	0.17	1.114	1.13	-1.082	-1.012	1.261	1.3	-0.791	-0.744	-0.177	-0.192	-0.815	-0.859	-0.673	-0.686	-1.225	-1.23
ADC	1.277	1.218	-0.906	-1.198	0.745	0.6	-0.058	-0.948	1.869	1.965	-0.47	-0.238	0.588	0.825	-1.255	-1.817	1.172	0.977	-0.435	0.78	0.368	1.265	-1.044	-0.772	-1.06	-0.468	-1.234	-0.767	-0.198	-0.873	-0.44	0.528
ADORA2B	-0.279	-0.429	0.733	0.796	0.215	-0.601	0.449	0.664	0.046	0.103	0.7	0.947	-0.631	-0.11	0.296	0.353	0.022	-0.069	0.536	0.532	0.271	0.386	0.988	0.592	0.502	0.554	0.522	0.581	-1.869	-4.143	-1.397	-1.261
ADPRHL2	0.685	0.552	-0.802	-0.59	0.505	0.383	-0.683	-0.527	2.078	2.127	-0.384	-0.301	1.101	1.13	-1.52	-1.677	0.942	1.181	-0.948	-0.711	1.46	1.489	-0.208	-0.43	-0.426	-0.217	-0.543	-0.432	-0.231	-0.534	-1.372	-1.099
AFF1	1.227	1.242	0.214	0.174	0.275	0.309	-0.184	-0.229	0.891	0.864	0.205	0.198	0.755	0.75	0.376	0.38	0.574	0.644	-0.304	-0.315	0.421	0.449	0.161	0.08	0.109	0.184	0.089	0.171	-2.046	-2.207	-3.047	-2.41
AGRN	0.794	0.886	-0.176	-0.058	-0.251	-0.018	-1.206	-1.199	0.715	0.695	-0.591	-0.93	0.58	0.588	0.634	0.488	1.451	1.513	0.368	0.051	1.526	1.385	0.513	0.509	-0.018	0.045	-0.628	-0.521	-2.236	-2.465	-1.366	-1.075
AGTRAP	0.568	0.589	-0.083	-0.209	0.308	0.229	-0.288	-0.724	1.024	1.134	0.056	0.043	0.935	0.959	-0.665	-0.448	0.272	0.251	-0.197	-0.255	1.214	1.207	0.485	0.38	0.746	0.624	0.485	0.337	-1.747	-2.243	-2.934	-2.053
AIDA	1.42	0.247	-0.399	-1.54	0.375	-0.514	-0.903	-2.057	1.311	0.513	0.056	-0.879	1.337	1.311	1.142	1.174	1.406	1.538	-0.65	-0.621	1.004	1.06	-0.495	-0.557	-0.166	-0.236	-0.409	-0.251	-0.526	-1.226	-1.122	-1.345
AIM2	0.109	0.529	-0.581	-1.472	-0.865	-0.059	-1.088	-1.023	0.08	-0.104	-1.434	-3.644	0.806	1.11	0.862	0.716	0.941	0.818	-0.384	-1.352	0.896	0.898	0.605	-0.005	0.552	0.84	0.713	0.511	0.161	-0.003	0.585	0.282
AIPL1	1.392	1.193	0.021	-0.974	0.583	0.314	-0.974	-0.974	0.762	1.011	-0.974	-0.974	0.963	1.951	-0.974	-0.974	1.637	0.95	0.218	-0.974	1.419	1.641	-0.974	-0.122	-0.974	-0.974	-0.974	-0.464	0.123	-0.974	0.04	-0.974
ALDH3A2	-1.408	-1.203	-0.077	0.776	-0.943	-1.199	0.439	0.687	-0.892	-1.195	0.834	0.858	0.326	-0.136	-0.531	-0.38	-0.721	-0.756	-0.438	0.264	0.388	0.598	1.37	1.195	1.831	2.371	1.199	0.745	-1.144	-0.38	-0.993	-1.482
ALPK1	0.792	0.787	-0.051	0.117	0.607	0.261	-0.498	-0.673	1.15	0.931	0.649	0.477	0.642	0.696	-0.363	-0.512	1.308	1.186	0.343	0.286	0.494	0.345	-0.304	-0.422	0.179	0.372	-0.012	-0.004	-1.477	-1.593	-3.251	-2.462
AMBRA1	1.076	1.256	-0.62	-0.789	0.55	0.92	-1.112	-0.979	0.533	0.991	-1.993	-1.532	0.933	1.262	-0.467	-0.637	1.174	1.33	-0.65	-0.43	1.174	1.256	-0.772	-1.098	-0.793	-0.722	-1.2	-1.156	0.442	0.384	1.022	0.645
AMOTL2	0.785	0.615	-0.231	-0.362	0.977	1.049	-0.045	-0.25	1.131	1.308	0.283	0.186	0.41	0.473	-0.811	-1.028	2.048	2.04	0.285	0.56	0.29	0.458	-0.665	-0.638	-0.417	-0.187	-0.529	-0.659	-1.912	-2.015	-1.646	-1.501
ANGPTL1	0.862	0.871	-1.345	-1.09	0.815	0.853	-1.03	-0.89	1.356	1.416	-0.364	-0.125	1.833	1.875	-0.617	-0.694	1.083	1.102	-0.969	-0.767	1.251	1.217	-0.91	-0.863	-0.234	-0.269	-0.443	-0.201	-0.591	-0.982	-1.092	-1.059
ANKFY1	1.692	1.482	-0.686	-0.727	0.131	-0.011	-1.473	-1.187	1.354	1.291	-0.918	-0.847	1.128	1.128	1.338	1.342	1.201	0.962	-0.882	-0.965	0.764	0.828	-0.37	-0.412	-0.627	-0.252	-0.786	-0.377	-1.105	-1.05	-0.857	-1.107
ANKIB1	1.08	1.044	-1.425	-1.36	0.798	0.778	-0.729	-0.866	1.192	1.047	-1.091	-1.493	1.473	1.494	-0.306	-0.25	1.693	1.624	-0.798	-0.851	1.121	1.012	-0.806	-0.735	-0.771	-1.02	-0.496	-0.623	0.04	-0.111	-0.288	-0.377
ANO6	0.827	0.897	0.136	0.096	0.112	0.373	-0.74	-0.503	0.848	0.897	0.393	0.383	1.007	0.986	-0.557	-0.365	1.27	1.267	0.256	0.365	0.463	0.445	0.021	0.064	0.175	0.103	0.013	-0.027	-1.94	-2.31	-2.582	-2.374
APBB2	0.996	1.033	-0.436	-0.211	0.661	0.627	-0.472	-0.052	0.468	0.799	-0.128	-0.098	0.412	0.24	-0.128	-0.088	1.561	1.583	-0.651	-0.445	-0.245	-0.546	-0.574	-0.537	-1.784	-1.996	-2.021	-1.935	0.302	0.259	1.576	1.828
APLNR	-1.115	-1.115	1.006	0.838	-1.115	-1.115	1.183	1.242	-0.205	-0.413	-0.259	0.199	-1.115	0.943	0.543	0.236	0.737	-1.115	-1.115	0.011	-0.203	-1.115	1.157	0.958	1.117	1.033	1.201	2.063	-1.115	-1.115	-1.115	-1.115
APOBEC3D	0.519	1.159	-0.987	0.241	0.677	0.73	-1.522	-0.372	0.983	1.151	-0.749	-1.522	1.106	1.366	-0.7	-0.706	1.79	1.611	0.24	-0.505	1.196	1.207	-0.132	-1.076	-0.732	-0.742	-0.785	-0.155	-0.333	0.088	-1.522	-1.522
APOBEC3F	1.233	1.35	-0.06	0.076	0.688	0.678	-0.316	-0.695	1.099	1.21	0.305	0.173	1.126	1.124	-0.529	-0.724	1.565	1.522	-0.202	-0.215	0.693	0.642	-0.872	-0.827	-0.657	-0.625	-1.156	-1.089	-0.337	-0.798	-1.958	-2.425
APOBEC3G	1.147	1.109	-0.317	-0.726	1.081	1.137	-0.295	-0.561	0.733	0.844	-0.449	-0.405	1.098	1.164	-0.741	-1.209	1.675	1.653	-0.177	0.115	1.04	1.05	-0.806	-0.875	-1.692	-1.23	-1.427	-1.431	0.219	0.274	-0.927	-1.071
APOL1	1.158	1.164	-0.967	-1.215	1.218	1.173	-0.297	-0.654	0.985	0.973	-1.128	-0.995	0.988	0.969	-0.398	-0.793	1.668	1.707	0.362	0.352	0.865	0.858	-0.985	-1.069	-0.552	-0.561	-0.677	-0.649	-0.079	-0.113	-1.87	-1.438
APOL2	0.993	0.998	-0.302	-0.494	0.751	0.749	-0.691	-0.585	1.269	1.27	-0.41	-0.468	1.185	1.19	-0.818	-0.807	1.422	1.412	-0.017	0.041	1.105	1.095	-0.867	-0.819	-0.048	-0.029	-0.564	-0.587	-0.613	-0.789	-2.324	-2.25
APOL3	0.976	0.962	-0.816	-0.596	0.961	0.98	-0.532	-0.767	1.155	1.098	-0.234	-0.185	1.056	1.027	-0.886	-1.058	1.516	1.553	0.258	0.235	0.879	0.862	-0.929	-0.793	-0.118	-0.067	-0.676	-0.947	-0.092	-0.271	-2.275	-2.275
APOL6	1.108	1.088	-0.568	-0.608	0.901	0.879	-0.474	-0.501	1.256	1.282	-0.163	-0.159	1.113	1.121	-0.699	-0.563	1.281	1.298	-0.111	-0.136	1.013	1.018	-0.91	-0.943	-0.641	-0.732	-0.934	-1.023	0.017	0.01	-1.285	-2.934
ARAP2	1.026	0.853	0.181	0.021	1.001	0.99	0.213	0.312	0.772	0.933	-0.153	-0.129	1.372	1.408	-0.359	-0.525	-0.086	0.45	-1.067	-1.035	1.317	1.228	0.471	0.78	-0.849	-1.325	-0.34	-0.426	-1.302	-1.449	-2.309	-1.974
